TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,Good news! A new version of the game is available.,Bonne nouvelle ! Une nouvelle version du jeu est disponible.,Gute Nachrichten! Eine neue Version des Spiels ist verfügbar.,¡Buenas noticias! Hay disponible una nueva versión del juego.,Buone notizie! È disponibile una nuova versione del gioco.,Goed nieuws! Er is een nieuwe versie van het spel beschikbaar.,Gode nyheter! En ny versjon av spillet er tilgjengelig.,Boas notícias! Uma nova versão do jogo está disponível.,İyi haber! Oyunun yeni bir sürümü var.
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Update,Mettre à jour,Update,Actualizar,Aggiornamento,Bijwerken,Oppdater,Atualizar,Güncelle
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,Error!,Erreur !,Fehler!,¡Error!,Errore!,Fout opgetreden!,Feil!,Erro!,Hata!
TID_ERROR_POP_UP_OUT_OF_SYNC,Client and server are out of sync!,Le client et le serveur ne sont pas synchronisés !,Client und Server sind nicht synchron!,¡El cliente y el servidor no están sincronizados!,Il client e il server non sono in sincrono!,Software en server lopen niet synchroon!,Klient og server er ikke synkronisert!,Cliente e servidor estão fora de sincronia!,İstemci ve sunucu uyumlu değil!
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Reload game,Relancer le jeu,Spiel neu laden,Volver a cargar,Ricarica gioco,Spel herladen,Omstart spill,Recarregar jogo,Oyunu t. yükle
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,Maintenance break,Maintenance,Wartung,Pausa de mantenimiento,Manutenzione in corso,Onderhoud,Vedlikeholdspause,Intervalo de manutenção,Bakım arası
TID_ERROR_POP_UP_SERVER_MAINTENANCE,"Sorry, the servers are under maintenance. Please try again later.","Désolé, les serveurs sont en cours de maintenance. Veuillez réessayer plus tard.","Tut uns leid, die Server werden gewartet. Bitte versuche es später erneut.","Lo sentimos, los servidores están en mantenimiento. Inténtalo de nuevo más tarde.","Siamo spiacenti, i server sono in manutenzione. Riprova più tardi.","Sorry, er wordt momenteel gewerkt aan de servers. Probeer het later nog eens.","Beklager, serverne vedlikeholdes. Prøv igjen senere.","Desculpe, os servidores estão em manutenção. Por favor, tente novamente mais tarde.","Üzgünüz, şu anda sunuculara bakım yapılıyor. Lütfen daha sonra tekrar dene."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,Try again,Réessayer,Erneut versuchen,Reintentar,Riprova,Probeer nogmaals,Prøv igjen,Tente novamente,Tekrar dene
TID_BUILDING_ALLIANCE_CASTLE,Clan Castle,Château de clan,Clanburg,Castillo del clan,Castello del clan,Clankasteel,Klanslott,Castelo do Clã,Klan Kalesi
TID_BUILDING_ALLIANCE_MARKER,Clan Flag,Drapeau de clan,Clanflagge,Bandera del clan,Bandiera del clan,Clanvlag,Klanflagg,Bandeira do Clã,Klan Bayrağı
TID_COMM_MAST,Radio Tower,Tour de radiodiffusion,Funkturm,Torre de la radio,Torre radio,Radiotoren,Radiotårn,Torre de Rádio,Radyo Kulesi
TID_TRAP_MINE,Bomb,Bombe,Bombe,Bomba,Bomba,Bom,Bombe,Bomba,Bomba
TID_TRAP_EJECTOR,Spring Trap,Piège à ressort,Tellereisen,Trampa de salto,Trappola a scatto,Veerval,Dyrefelle,Armadilha de Mola,Yaylı Tuzak
TID_SHOP_SHIELD_1D,One Day Shield,Bouclier d'un jour,1-Tag-Schild,Escudo de un día,Scudo per un giorno,1-dag schild,Skjold én dag,Escudo de Um Dia,Bir Günlük Kalkan
TID_SHOP_SHIELD_2D,Two Day Shield,Bouclier de deux jours,2-Tage-Schild,Escudo de dos días,Scudo per due giorni,2-dagen schild,Skjold to dager,Escudo de Dois Dias,İki Günlük Kalkan
TID_SHOP_SHIELD_7D,One Week Shield,Bouclier d'une semaine,1-Woche-Schild,Escudo de una semana,Scudo per una settimana,1 week-schild,Skjold én uke,Escudo de Uma Semana,Bir Haftalık Kalkan
TID_ALLIANCE_MAIN_BUTTON,Clan,Clan,Clan,Clan,Clan,Clan,Klan,Clã,Klan
TID_ALLIANCE_LIST_HEADER,Clan,Clan,Clan,Clan,Clan,Clan,Klan,Clã,Klan
TID_CREATE_ALLIANCE_BUTTON,Create,Créer,Erstellen,Crear,Crea,Creëren,Lag,Criar,Oluştur
TID_LEAVE_ALLIANCE_BUTTON,Leave,Quitter,Verlassen,Dejar,Abbandona,Verlaten,Forlat,Deixar,Ayrıl
TID_JOIN_ALLIANCE_TAB,Join Clan,Rejoindre le clan,Clan beitreten,Unirse al clan,Unisciti al Clan,Bij clan gaan,Delta i klan,Juntar-se ao Clã,Klana Katıl
TID_CREATE_ALLIANCE_TAB,Create Clan,Créer un clan,Clan erstellen,Crear clan,Crea Clan,Clan opzetten,Lag klan,Criar Clã,Klan Oluştur
TID_MY_ALLIANCE_TAB,My Clan,Mon clan,Mein Clan,Mi clan,Il mio Clan,Mijn clan,Min klan,Meu Clã,Klanım
TID_ALLIANCE_BUTTON_EDIT,Edit,Modifier,Bearbeiten,Editar,Modifica,Bewerken,Rediger,Editar,Düzenle
TID_ALLIANCE_CREATE_NAME,Clan Name:,Nom du clan :,Clanname:,Nombre del clan:,Nome clan:,Clannaam:,Klannavn:,Nome do Clã:,Klan Adı:
TID_ALLIANCE_CREATE_DESCRIPTION,Description:,Description :,Beschreibung:,Descripción:,Descrizione:,Beschrijving:,Beskrivelse:,Descrição:,Açıklama:
TID_ALLIANCE_CREATE_BADGE,Symbol:,Symbole :,Symbol:,Símbolo:,Simbolo>,Symbool:,Symbol:,Símbolo:,Simge:
TID_ALLIANCE_CREATE_TYPE,Clan Type:,Type de clan :,Clanart:,Tipo de clan:,Tipo di Clan>,Clantype:,Klantype:,Tipo de Clã:,Klan Türü:
TID_ALLIANCE_BADGE_BROWSE,Browse,Parcourir,Durchsuchen,Buscar,Naviga,Snuffelen,Søk,Procurar,Gözat
TID_ALLIANCE_TYPE_OPEN,Anyone can join,Ouvert,Jeder kann beitreten,Cualquiera puede unirse,Tutti possono unirsi,Iedereen kan toetreden,Alle kan delta,Qualquer pessoa pode aderir,Herkes katılabilir
TID_ALLIANCE_TYPE_INVITE_ONLY,Invite only,Sur invitation,Nur auf Einladung,Solo con invitación,Solo su invito,Alleen op uitnodiging,Bare inviter,Somente convidados,Yalnızca davet
TID_ALLIANCE_TYPE_CLOSED,Closed,Fermé,Geschlossen,Cerrado,Chiuso,Besloten,Lukket,Fechado,Kapalı
TID_TOO_SHORT_ALLIANCE_NAME,Clan name is too short!,Le nom du clan est trop petit !,Clanname ist zu kurz!,¡Nombre muy corto para el clan!,Il nome del clan è troppo corto!,Clannaam is te kort!,Klannavnet er for kort!,Nome do Clã é muito curto!,Klan adı çok kısa!
TID_BACK_BUTTON,Back,Retour,Zurück,Atrás,Indietro,Terug,Tilbake,Voltar,Geri
TID_ALLIANCE_SELECT_BADGE,Select Clan Symbol,Choisissez le symbole du clan,Clansymbol auswählen,Seleccionar símbolo del clan,Seleziona simbolo del clan,Kies een clansymbool,Velg klansymbol,Selecione Símbolo do Clã,Klan Simgesi seç
TID_ALLIANCE_JOIN_BUTTON,Join,Rejoindre,Beitreten,Unirse,Unisciti,Meedoen,Delta,Juntar,Katıl
TID_ALLIANCE_JOIN_FAILED,Clan is full!,Le clan est plein !,Clan ist voll!,¡Clan lleno!,Il clan è pieno!,Clan is vol!,Klanen er full!,Clã está cheio!,Klan dolu!
TID_ALLIANCE_JOIN_OK,You are now a member of clan <name>!,Vous faites désormais partie du clan <name> !,Du bist jetzt Mitglied von Clan <name>!,¡Ahora eres miembro del clan <name>!,Ora fai parte del clan <name>!,Je bent nu lid van clan <name>!,Du er nå et medlem i <name>-klanen!,Agora você é um membro do clã <name>!,Artık <name> klanının üyesisin!
TID_ALLIANCE_CREATE_OK,You have successfully founded a new clan!,La création de votre clan a réussi !,Du hast erfolgreich einen neuen Clan gegründet!,¡Has fundado con éxito un nuevo clan!,Hai fondato un nuovo clan!,Je hebt een nieuwe clan opgezet!,Du har med hell grunnlagt en ny klan!,Você fundou um novo clã com sucesso!,Başarıyla yeni bir klan kurdun!
TID_ALLIANCE_BUTTON_LEAVE,Leave,Quitter,Verlassen,Dejar,Abbandona,Verlaten,Forlat,Deixar,Ayrıl
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,Leave Clan?,Quitter le clan ?,Clan verlassen?,¿Dejar clan?,Abbandonare il clan?,Clan verlaten?,Forlate klanen?,Deixar Clã?,Klandan ayrıl?
TID_ALLIANCE_LEAVE_CONFIRMATION,Do you really want to leave?,Voulez-vous vraiment quitter le clan ?,Möchtest du wirklich gehen?,¿Seguro que quieres salir?,Vuoi veramente andartene?,Wil je de clan echt verlaten?,Vil du virkelig forlate?,Você realmente quer ir embora?,Gerçekten ayrılmak istiyor musun?
TID_ALLIANCE_ROLE_ADMIN,Clan Elder,Aîné du clan,Clanältester,Anciano del clan,Anziano del clan,Clanoudste,Klansenior,Ancião do Clã,Klan Büyüğü
TID_ALLIANCE_ROLE_LEADER,Clan Leader,Chef du clan,Clanführer,Líder del clan,Capoclan,Clanleider,Klanleder,Líder do Clã,Klan Lideri
TID_ALLIANCE_ROLE_MEMBER,Clan Member,Membre du clan,Clanmitglied,Miembro del clan,Membro del clan,Clanlid,Klanmedlem,Membro do Clã,Klan Üyesi
TID_ALLIANCE_PROMOTE_BUTTON,Promote to <role>,Promouvoir : <role>,Befördern zu <role>,Asciende a <role>,Promuovi a <role>,Promoveren naar <role>,Forfrem til <role>,Promover a <role>,Terfi: <role>
TID_ALLIANCE_DEMOTE_BUTTON,Demote to <role>,Dégrader,Degradieren zu <role>,Descendido a <role>,Degrada a <role>,Degraderen naar <role>,Degrader til <role>,Rebaixar a <role>,Tenzil: <role>
TID_ALLIANCE_ACCEPTED_BY,Accepted by <name>,Accepté par <name>,Angenommen von <name>,Aceptado por <name>,Accettato da <name>,Geaccepteerd door <name>,Godtatt av <name>,Aceito por <name>,<name> kabul etti
TID_ALLIANCE_REJECTED_BY,Rejected by <name>,Rejeté par <name>,Abgelehnt von <name>,Rechazado por <name>,Rifiutato da <name>,Geweigerd door <name>,Avslått av <name>,Rejeitado por <name>,<name> reddetti
TID_ALLIANCE_INVITATION_OK,Invite sent successfully.,L'invitation a bien été envoyée.,Einladung erfolgreich gesandt.,Invitación enviada con éxito.,Invito inviato con successo.,Uitnodiging verstuurd.,Invitt vellykket sendt.,Convite enviado com sucesso.,Davet başarıyla gönderildi.
TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE,"Can't invite, player does not have a Clan Castle!",Invitation impossible. Ce joueur ne possède pas de château de clan !,"Einladung nicht möglich, Spieler hat keine Clanburg!",No se puede invitar: el jugador no tiene ningún castillo del clan.,"Non puoi mandare un invito, il giocatore non ha un Castello!","Uitnodigen niet mogelijk, de speler heeft geen clankasteel!","Kan ikke invitere, spilleren har ikke noe klanslott!","Não é possível convidar, o jogador não tem um Castelo de Clã!",Davet edilemez; oyuncunun Klan Kalesi yok!
TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE,Player has already joined a clan!,Ce joueur a déjà rejoint un clan !,Spieler ist dem Clan bereits beigetreten!,¡El jugador ya se ha unido a un clan!,Il giocatore si è già unito a un clan!,De speler zit al bij een clan!,Spilleren deltar allerede i en klan!,Jogador já se juntou a um clã!,Oyuncu zaten bir klana üye!
TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE,You have already invited that player!,Vous avez déjà invité ce joueur !,Du hast diesen Spieler bereits eingeladen!,¡Ya has invitado a ese jugador!,Hai già invitato questo giocatore!,Je hebt die speler al uitgenodigd!,Du har allerede invitert den spilleren!,Você já convidou o jogador!,Bu oyuncuyu zaten davet ettin!
TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE,Hey I'd like to join your clan,Salut ! Je voudrais rejoindre ton clan,"Hey, ich möchte deinem Clan beitreten","Hola, me gustaría unirme a tu clan.","Ehi, mi piacerebbe unirmi al tuo clan","Hoi, kom je bij mijn clan?","Hei, jeg vil delta i klanen din","Ei, eu gostaria de me juntar ao seu clã","Hey, klanına katılmak istiyorum"
TID_ACCEPT_ALLIANCE_JOIN_REQUEST,Accept join request?,Accepter la demande ?,Beitrittsanfrage annehmen?,¿Aceptar petición?,Accettare la richiesta?,Verzoek accepteren?,Godta forespørsel om å delta?,Aceitarpedido?,Katılma isteği kabul edinsin mi?
TID_KICK_OUT_FROM_ALLIANCE,Kick Out,Exclure,Rauswerfen,Expulsar,Espelli,Uitzetten,Utspark,Expulsar,At
TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE,Step Down?,Se désister ?,Zurücktreten?,¿Dimitir?,Vuoi fare un passo indietro?,Aftreden?,Gå av?,Demitir-se?,Çekilecek misin?
TID_PROMOTE_TO_LEADER_CONFIRMATION,Make <name> the new Clan Leader?,Faire de <name> le nouveau chef du clan ?,<name> zum neuen Clanführer machen?,¿Nombrar a <name> nuevo líder del clan?,Vuoi nominare <name> Capoclan?,<name> tot nieuwe clanleider benoemen?,Gjøre <name> til ny klanleder?,Tornar <name> o novo líder do clã?,<name> yeni Klan Lideri olsun mu?
TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE,Promote?,Promouvoir ?,Befördern?,¿Ascender?,Promuovere?,Promoveren?,Forfremme?,Promover?,Terfi ettir?
TID_PROMOTE_TO_ADMIN_CONFIRMATION,Promote <name> to Clan Elder?,Promouvoir <name> au rang d'aîné du clan ?,<name> zum Clanältesten befördern?,¿Ascender a <name> a anciano del clan?,Vuoi promuovere <name> ad Anziano del clan?,<name> tot clanoudste promoveren?,Forfremme <name> til klansenior?,Promover <name> a Ancião do Clã?,<name> Klan Büyüğü olarak terfi etsin mi?
TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE,Demote?,Dégrader ?,Degradieren?,¿Degradar?,Degradare?,Degraderen?,Degradere?,Rebaixar?,Tenzil et?
TID_DEMOTE_TO_MEMBER_CONFIRMATION,Demote <name> to Clan Member?,Dégrader <name> au rang de membre du clan ?,<name> zu Clanmitglied degradieren?,¿Degradar a <name> a miembro del clan?,Vuoi degradare <name> a Membro del clan?,<name> tot clanlid degraderen?,Degradere <name> til klanmedlem?,Rebaixar <name> a Membro do Clã?,<name> Klan Üyeliğine indirilsin mi?
TID_KICK_MEMBER_CONFIRMATION_TITLE,Banishment!,Bannissement !,Verbannung!,¡Desaparición!,Esilio!,Verbannen!,Utvisning!,Banimento!,Kovma!
TID_KICK_MEMBER_CONFIRMATION,Kick out <name> from the Clan?,Exclure <name> du clan ?,<name> aus dem Clan werfen?,¿Expulsar a <name> del clan?,Vuoi espellere <name> dal clan?,<name> uit de clan zetten?,Sparke <name> fra klanen?,Explusar <name> do Clã?,<name> Klandan atılsın mı?
TID_VISIT_BUTTON,Visit,Rendre visite,Besuchen,Visitar,Fai visita a,Bezoeken,Besøk,Visitar,Ziyaret et
TID_INVITE_BUTTON,Invite,Inviter,Einladen,Invitar,Invita,Uitnodigen,Inviter,Convidar,Davet et
TID_VIEW_ALLIANCE,View Clan,Voir clan,Clan betrachten,Ver clan,Visualizza clan,Clan bekijken,Vis klan,Ver clã,Klanı Görüntüle
TID_SETTINGS_LANGUAGE,Language,Langue,Sprache,Idioma,Lingua,Taal,Språk,Idioma,Dil
TID_SAVE_ALLIANCE_SETTINGS,Save,Sauvegarder,Retten,Guardar,Salva,Opslaan,Lagre,Salvar,Kaydet
TID_STREAM_DONATE_TEXT,needs reinforcement troops,a besoin de troupes de renfort,braucht Verstärkungstruppen,necesita refuerzos,ha bisogno di rinforzi,heeft versterking nodig,trenger forsterkninger,precisa de tropas de reforço,takviye askere ihtiyaç duyuyor
TID_STREAM_DONATE_BUTTON,Donate,Faire un don,Überlassen,Donar,Dona,Doneren,Doner,Doar,Bağış Yap
TID_ALLIANCE_DONATE_HEADER,Donate Troops,Faire un don de troupes,Truppen überlassen,Donar tropas,Dona truppe,Troepen doneren,Doner soldater,Doar tropas,Asker Bağışı Yap
TID_BUTTON_REQUEST_TROOPS,Request Troops,Demander des troupes,Truppen anfordern,Pedir tropas,Richiedi truppe,Troepen verzoeken,Be om soldater,Solicitar Tropas,Asker İste
TID_TROOP_REQUEST_SENT,Troop request was sent!,La demande de troupes a bien été envoyée !,Truppenanforderung wurde geschickt!,¡Petición de tropas enviada!,Richiesta di truppe inviata!,Verzoek om troepen is verstuurd!,Forespørsel om soldater sendt!,Pedido de tropas enviado com sucesso!,Asker isteği gönderildi!
TID_ALLIANCE_STREAM_THANKS,Thank you for the troops!,Merci pour les troupes !,Danke für die Truppen!,¡Gracias por las tropas!,Grazie per le truppe!,Bedankt voor de troepen!,Takk for soldatene!,Obrigado pelas tropas!,Askerler için teşekkürler!
TID_ALLIANCE_TROOP_RECEIVED,You have received level <level> <troop> from <avatar>!,Vous avez reçu <troop> de niveau <level> de la part de <avatar> !,Du hast Level <level> <troop> von <avatar> erhalten!,¡Has recibido <troop> <level> de <avatar>!,Hai ricevuto <troop> di livello <level> da <avatar>!,Je hebt <troop> met niveau <level> ontvangen van <avatar>!,Du har mottatt nivå <level> <troop> fra <avatar>!,Você recebeu <troop> nível <level> de <avatar>!,<avatar> tarafından size <level> seviye <troop> gönderildi!
TID_BARBARIAN,Barbarian,Barbare,Barbar,Bárbaro,Barbaro,Barbaar,Barbar,Bárbaro,Barbar
TID_ARCHER,Archer,Archer,Bogenschütze,Arquero,Arciere,Boogschutters,Bueskytter,Arqueiro,Okçu
TID_GIANT,Giant,Géant,Riese,Gigante,Gigante,Reus,Gigant,Gigante,Dev
TID_DRAGON,Dragon,Dragon,Drache,Dragón,Drago,Draak,Drage,Dragão,Ejderha
TID_PEKKA,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A.,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A
TID_GOBLIN,Goblin,Gobelin,Kobold,Duende,Goblin,Gobelin,Nisse,Goblin,Goblin
TID_WALL_BREAKER,Wall Breaker,Casse-brique,Mauerbrecher,Rompemuros,Spaccamuro,Muurbreker,Veggbryter,Destruidor de Muros,Duvar Yıkıcı
TID_GOBLIN_BALLOON,Balloon,Ballon,Ballon,Globo,Mongolfiera,Ballon,Ballong,Balão,Balon
TID_HEALER,Healer,Guérisseuse,Heiler,Sanador,Guaritore,Heler,Helbreder,Curandeiro,Şifacı
TID_WIZARD,Wizard,Sorcier,Magier,Mago,Stregone,Tovenaar,Sjaman,Feiticeiro,Sihirbaz
TID_TROOP_REQUEST_FAIL_CASTLE_FULL,Clan Castle is already full!,Le château du clan est déjà plein !,Clanburg ist bereits voll!,¡El castillo del clan está lleno!,Il castello del clan è pieno!,Clankasteel is al vol!,Klanslottet er allerede fullt!,Castelo do Clã já está cheio!,Klan Kalesi zaten dolu!
TID_TROOP_REQUEST_FAIL_COOLDOWN,You need to wait before requesting more reinforcements.,Vous devez attendre avant de demander plus de renfort.,"Du musst warten, bevor du mehr Verstärkung anfordern kannst.",Tendrás que esperar antes de pedir más refuerzos.,Devi aspettare prima di richiedere altri rinforzi!,Je moet even wachten voordat je om meer versterkingen kunt vragen.,Du må vente før du kan be om forsterkninger.,Você precisa aguardar antes de pedir mais reforços.,Başka takviye istemeden önce beklemen gerekiyor.
TID_ALLIANCE_STREAM_REWARD,You received <number>xp,Vous avez reçu <number> d'XP,Du erhältst <number> EP,Has recibido <number> EXP.,Hai ricevuto <number>XP,Je hebt <number> XP ontvangen,Du mottok <number>xp,Você recebeu <number> xp,<number>xp aldın
TID_HOUSING_TROOPS_INSIDE,All troops:,,,,,,,,
TID_UNIT_STORAGE_CAPACITY,Troop capacity: <number>,Troupes maximum : <number>,Truppenkapazität: <number>,Capacidad de tropas: <number>,Capienza truppe: <number>,Troepcapaciteit: <number>,Soldatkapasitet: <number>,Capacidade da tropa: <number>,Asker kapasitesi: <number>
TID_HITPOINTS,Hitpoints: <number>,Points de vie : <number>,Trefferpunkte: <number>,Vida: <number>,Punti coli a segno: <number>,Treffers: <number>,Treffpoeng: <number>,Acertos: <number>,Hasar Puanı: <number>
TID_DPS,Damage per second: <number>,Dégâts par seconde : <number>,Schaden pro Sekunde: <number>,Daño por segundo: <number>,Danno al secondo: <number>,Schade per seconde: <number>,Skade per sekund: <number>,Dano por segundo: <number>,Saniye başına hasar: <number>
TID_HEAL,Heal: <number>,Soin : <number>,Heilung: <number>,Curación: <number>,Salute: <number>,Helen: <number>,Helbred: <number>,Curar: <number>,İyileştirme: <number>
TID_TRAIN_COST,Training Cost: <number> <resource>,Coût de la formation : <number> <resource>,Trainingskosten: <number> <resource>,Coste entrenamiento: <number> <resource>,Costo addestramento: <number> <resource>,Trainingskosten: <number> <resource>,Treningsutgift: <number> <resource>,Custo de Treinamento: <number> <resource>,Eğitim Maliyeti: <number> <resource>
TID_RESOURCE_STORAGE_CAPACITY,Storage Capacity: <number>,Capacité de stockage : <number>,Lagerkapazität: <number>,Capacidad de almacenaje: <number>,Capienza: <number>,Opslagcapaciteit: <number>,Lagringskapasitet: <number>,Capacidade de Armazenamento: <number>,Depolama Kapasitesi: <number>
TID_PRODUCTION_RATE,Production Rate: <number> per hour,Production moyenne : <number> par heure,Produktionsrate: <number> pro Stunde,Ritmo de producción: <number> por hora,Ritmo produttivo: <number> all´ora,Productiesnelheid: <number> per uur,Produksjonshastighet: <number> per time,Taxa de Produção: <number> por hora,Üretim Hızı: <number> / saat
